timestamp,r_state,r_thumb,r_index,r_middle,r_ring,r_pinky,l_state,l_thumb,l_index,l_middle,l_ring,l_pinky
1773467998.4027212,,,,,,,,,,,,
1773467998.4339213,,,,,,,,,,,,
1773467998.4637728,,,,,,,,,,,,
1773467998.4958267,,,,,,,,,,,,
1773467998.5261939,,,,,,,,,,,,
1773467998.5719213,TRACK,0.08110023499900507,0.0,0.0,0.0226477372789239,0.0,,,,,,
1773467998.6031833,TRACK,0.09372118392631137,0.0,0.0,0.02414348945162402,0.0,,,,,,
1773467998.6350586,TRACK,0.0741904215344502,0.0,0.0,0.013815581488956355,0.0,,,,,,
1773467998.665739,TRACK,0.06966465332156019,0.0,0.0,0.015179967953435777,0.0,,,,,,
1773467998.7169137,TRACK,0.07026261051342601,0.0,0.0,0.02767269756055299,0.0,,,,,,
1773467998.7419732,TRACK,0.04458040001618485,0.0,0.0,0.04820559478956909,0.018033348248637823,,,,,,
1773467998.7741036,TRACK,0.045552871617096,0.0,0.0,0.041192531165644655,0.018201546465619743,,,,,,
1773467998.8050296,TRACK,0.03692129841368853,0.0,0.0,0.06455236930839078,0.02711607485570397,,,,,,
1773467998.835287,TRACK,0.02713990312932708,0.0,0.00019366452659539847,0.07435320998216213,0.03432224544956398,,,,,,
1773467998.8665318,TRACK,0.017858616419227927,0.0,0.007199654056057341,0.07084058617090705,0.04647394109380627,,,,,,
1773467998.897829,TRACK,0.030247459530302764,0.0,0.011575726807027991,0.08122183262779345,0.054238915073856614,,,,,,
1773467998.9282162,TRACK,0.03945794183963216,0.0,0.0,0.07701810501071066,0.034810486951812436,,,,,,
1773467998.988481,TRACK,0.04699636429390438,0.0,0.0,0.053776223945220636,0.0054934927419961355,,,,,,
1773467999.0207343,TRACK,0.06535573762598489,0.0,0.0,0.025949328614657645,0.0,,,,,,
1773467999.051848,TRACK,0.07841159159380538,0.0,0.0,0.013251421493032751,0.0,,,,,,
1773467999.0832698,TRACK,0.05932101531036352,0.0,0.0,0.0,0.0,,,,,,
1773467999.1162872,TRACK,0.0685449116341212,0.0,0.0,0.0,0.0,,,,,,
1773467999.1458068,TRACK,0.051538154366485005,0.0,0.0,0.0,0.0,,,,,,
1773467999.1803343,TRACK,0.03864604250367364,0.0,0.0,0.0,0.0,,,,,,
1773467999.207861,TRACK,0.04206288913814319,0.0,0.0,0.0,0.0,,,,,,
1773467999.2383838,TRACK,0.03604925458470063,0.0,0.0,0.0,0.0,,,,,,
1773467999.2696905,TRACK,0.018147204628347707,0.0,0.0,0.0,0.0,,,,,,
1773467999.301232,TRACK,0.02870287716380119,0.0,0.0,0.0,0.0,,,,,,
1773467999.3317733,TRACK,0.05344204432735694,0.0,0.0,0.0,0.0,,,,,,
1773467999.388035,TRACK,0.04725040016700888,0.0,0.0,0.0,0.0,,,,,,
1773467999.425757,TRACK,0.03671128567388422,0.0,0.0,0.0,0.0,,,,,,
1773467999.4573684,TRACK,0.026443603074550594,0.0,0.0,0.0,0.0,,,,,,
1773467999.4883919,TRACK,0.04240836554139179,0.0,0.0,0.0,0.0,,,,,,
1773467999.5179198,TRACK,0.036160452043964994,0.0,0.0,0.04873956544041789,0.06614650778897953,,,,,,
1773467999.5494416,TRACK,0.018402903040185662,0.0,0.0,0.16261736785419714,0.14846121454045288,,,,,,
1773467999.5802305,,,,,,,,,,,,
1773467999.6110697,TRACK,0.0275325515794583,0.0,0.0,0.3365154893941957,0.26367376827759387,,,,,,
1773467999.6418455,TRACK,0.017066918557278255,0.0,0.0,0.2075749132949295,0.20991682932839836,,,,,,
1773467999.673134,TRACK,0.0,0.0,0.0,0.05582676179035161,0.06118194450470298,,,,,,
1773467999.7023885,TRACK,0.0,0.0,0.0,0.007669210328521956,0.0019490634846337685,,,,,,
1773467999.733791,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.7873182,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.8133469,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.8438723,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.8743882,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.905073,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.9357445,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773467999.9961936,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.0282393,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.0666208,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.0903268,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.1224196,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.1525657,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.1881623,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.216184,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.2466857,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.277607,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.3084264,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.3382618,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.3952954,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.4314678,TRACK,0.007745897995055487,0.0,0.0,0.0,0.0,,,,,,
1773468000.462676,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.5237024,TRACK,0.01869996106907081,0.0,0.0,0.0,0.0,,,,,,
1773468000.5551598,TRACK,0.05014435340295933,0.0,0.0,0.0,0.0,,,,,,
1773468000.586684,TRACK,0.05993854037304345,0.0,0.0,0.0,0.0,,,,,,
1773468000.6164334,TRACK,0.0453975596693931,0.0,0.0,0.0,0.0,,,,,,
1773468000.6682384,TRACK,0.0,0.0,0.0,0.01262128328567627,0.0010034146872024508,,,,,,
1773468000.6942742,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.7247498,TRACK,0.0,0.0,0.0,0.0,0.0,,,,,,
1773468000.7565975,TRACK,0.0,0.0,0.0,0.06112851122749305,0.07112847502109985,,,,,,
1773468000.7859156,TRACK,0.0,0.0,0.0,0.27983164111706943,0.20982378637541757,,,,,,
1773468000.817638,TRACK,0.0,0.0,0.0,0.5076648230828742,0.32100861770196104,,,,,,
1773468000.8483639,TRACK,0.0,0.0,0.037489719542863044,0.6671630745593888,0.44546265406860586,,,,,,
1773468000.8784106,TRACK,0.0,0.0,0.08118436036458775,0.732040751904905,0.5094432797523909,,,,,,
1773468000.9415634,TRACK,0.0,0.0,0.054831552955870964,0.3438801389912868,0.28762192223086686,,,,,,
1773468000.97163,TRACK,0.0,0.0,0.030285412546149644,0.3565178977893103,0.2690102741796693,,,,,,
1773468001.002291,TRACK,0.0,0.0,0.019333312968972224,0.247077021035021,0.19209051463519444,,,,,,
1773468001.0333467,TRACK,0.0,0.0,0.013703640613705943,0.1446757010706071,0.11859336836025164,,,,,,
